Unique_Speaker,Sex,Location,Distance,pcm_RMSenergy_sma,pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],pcm_zcr_sma,voiceProb_sma,F0_sma,pcm_RMSenergy_sma_de,pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12],pcm_zcr_sma_de,voiceProb_sma_de,F0_sma_de
8,M,Imperial,200,0.00083483,-10.52423115,3.256801204,5.813317518,1.526240277,-7.781004424,-12.19713053,-8.608531134,-9.61151568,-1.898162763,0.196154427,-4.965235139,-8.511813591,0.113718155,0.32416008,178.27084,-5.92e-13,-2.13e-09,-8.71e-10,-5.68e-09,2.03e-09,3.31e-09,-8.84e-09,9.72e-09,1.19e-08,3.19e-09,9.01e-09,4.6e-09,1.06e-08,-1.15e-10,7.5e-11,4.37e-07
8,M,Imperial,500,0.000494657,-10.4655698,2.289613885,5.493295622,1.278366123,-9.376182439,-12.55153071,-6.672782518,-7.767475216,-6.098125946,1.538218567,-4.485358442,-10.67589018,0.129247045,0.334944967,196.9682394,5.54e-13,-2.36e-09,-9.84e-09,5.17e-09,1.19e-10,5.96e-10,5.39e-09,1.26e-09,7.86e-09,-1.91e-09,-1.72e-09,-1.8e-09,1.04e-09,-1.88e-11,-1.01e-10,2.63e-08
9,F,Imperial,50,0.002380413,-12.46446053,1.901918847,1.490669197,-6.321489846,-8.16786964,-10.51813401,-7.635488921,-6.72303801,-4.813259625,-3.091257409,-7.000276244,-5.767501023,0.12159615,0.381967314,181.5967087,1.21e-12,-2.99e-10,-2.17e-09,4.17e-10,-2.27e-09,-1.07e-08,-7.64e-09,1.62e-09,3.18e-09,6.09e-09,8.91e-09,8.03e-09,4.27e-09,6.43e-11,1.13e-10,2.93e-07
9,F,Imperial,200,0.001119613,-12.48841937,-1.979696681,0.2662432,-9.215260757,-8.71984636,-8.850080349,-9.586221982,-7.248194259,-6.868926135,-1.515214234,-9.818109099,-8.013308238,0.135178953,0.390854696,194.2289529,2.9e-13,6.18e-09,-4.49e-10,8.46e-09,7.27e-09,6.07e-09,3.08e-09,7.11e-09,6.25e-09,-1.22e-09,1e-08,-9.47e-10,-8.04e-09,-4.85e-11,2.44e-11,-4.64e-08
9,F,Imperial,500,0.000666708,-14.47448306,-5.688826342,1.055778222,-9.950343391,-9.571837856,-8.549503824,-12.43775409,-6.542995088,-10.6571721,-0.878284618,-10.08552442,-6.351806008,0.136516154,0.407755196,228.2089999,5.54e-13,-3.66e-09,4.04e-09,8.66e-09,1.63e-09,-7.04e-09,4.67e-09,2.94e-09,-2.24e-09,-2.13e-10,9.62e-09,-2.42e-09,7.56e-10,-1.35e-10,9.3e-12,4.63e-08
10,M,Imperial,50,0.001559752,-7.520751424,3.264333359,9.128260671,1.723784595,-1.088475283,-6.761980918,-3.371184845,-5.463408791,-7.56725764,-1.19912812,0.372355257,-7.71576495,0.102568245,0.348133409,185.4619087,2.53e-12,5.05e-10,5.95e-09,6.37e-09,-1.84e-09,7.73e-10,1.07e-08,2.5e-09,-2.78e-09,4.49e-10,9.45e-10,-7.14e-09,4.86e-09,1.56e-11,4.41e-11,-5.25e-07
10,M,Imperial,200,0.000645693,-8.828668675,3.459535467,8.345577487,-0.488882666,-5.314029839,-10.238171,-1.94715337,-4.0305424,-7.574111754,0.38706131,-1.304696062,-8.519884632,0.111068777,0.348189409,180.6986179,1.39e-14,2.89e-09,-3.74e-09,6.15e-09,-2.93e-09,-9.43e-09,-9.35e-09,1.26e-09,1.05e-09,-5.08e-09,1.93e-09,4.85e-09,-5.57e-09,-1.1e-10,3.28e-12,5.24e-08
10,M,Imperial,500,0.000368405,-8.15126626,0.806057158,5.815930454,-1.931154348,-8.101547344,-6.668349769,-1.667833218,0.414582229,-4.248212055,-1.817803289,-3.86783958,-10.02722518,0.118892935,0.335890363,197.108913,-1.08e-13,1.04e-09,-4.3e-09,-7.93e-11,7.54e-10,-2.81e-09,-9.76e-09,-1.83e-10,1.81e-09,2.26e-09,7.98e-09,3.52e-09,1.01e-08,-1.13e-10,2.7e-11,2.1e-07
11,F,Imperial,50,0.001701002,-8.700333946,2.358364197,7.988794312,-1.561721229,-5.674367832,-11.35494305,-1.677437597,-2.204507797,-7.950067123,-4.377269737,-3.4153725,-1.620032736,0.098437976,0.370495701,158.6960585,-2.84e-12,-2.32e-10,-2.1e-09,9.06e-09,-8.12e-09,-8.88e-09,3.2e-09,-3.15e-09,-1.65e-10,-1.08e-08,-2.67e-09,-3.74e-09,2.14e-09,-4.39e-11,3.09e-10,8.53e-08
11,F,Imperial,200,0.000582751,-9.166795129,2.205972072,7.325680349,-2.342075335,-7.738632237,-10.43499508,-0.785195764,-3.236863657,-6.909570941,-4.513400978,-4.787273105,-2.01021261,0.100759025,0.382616125,157.9488441,3.13e-13,-1.24e-09,4.04e-10,2.52e-09,-4.62e-09,2.16e-09,-2.63e-09,-1.98e-09,-4.51e-09,1.5e-09,5.85e-09,3.29e-09,-9.17e-09,2.47e-10,-2.3e-11,-5.82e-08
11,F,Imperial,500,0.000390936,-9.07359006,-0.794615014,6.428347565,-4.130777336,-9.713991402,-10.26235358,-2.423014508,-3.07729413,-8.392088977,-4.495738608,-7.378792786,-5.354438714,0.117109495,0.385664018,176.4110238,2.34e-13,-5.45e-09,-4.09e-09,6.41e-10,-4.67e-09,1.21e-08,-7.96e-09,7.5e-10,-5.31e-09,-1.02e-08,-4.81e-09,2.27e-09,2.29e-09,-3.85e-11,-7.64e-11,7.43e-08
12,M,Imperial,50,0.002982385,-9.021667822,4.77069263,5.877782371,0.529111649,-2.629216873,-3.026782923,-2.382617942,-2.669951764,-5.703561365,-0.453656655,3.662743421,-2.38226014,0.109896499,0.307550012,165.2153162,1.36e-12,1.42e-09,-4.46e-09,-7.23e-09,6.65e-09,8.33e-09,4.95e-09,3.29e-10,8.73e-10,1.89e-09,3.47e-09,1.06e-10,-4.05e-09,9.25e-11,-1.21e-10,8.11e-08
12,M,Imperial,200,0.001205726,-9.266546365,2.478082223,5.133659988,0.060108537,-6.234403279,-3.297321201,-2.431817816,-6.751617366,-4.405788502,0.476561632,2.359410731,-2.488416936,0.112205037,0.325086448,200.88681,-2.81e-12,1.89e-09,-1.24e-09,2.29e-09,1.33e-09,-3.73e-10,-2.55e-09,-3.61e-09,4.09e-09,-3.4e-09,-2.87e-10,-1.38e-08,4.11e-10,-4.65e-12,1.52e-11,2.05e-07
12,M,Imperial,500,0.000663289,-10.50286853,3.023075689,5.627034183,0.819077982,-8.673875285,-3.216958957,-3.973096549,-9.34810719,-5.017574191,-1.824460223,0.962873419,-1.836630288,0.118578255,0.324040556,199.2536927,-9.02e-13,1.1e-10,3.54e-09,2.48e-10,-1.94e-09,3.9e-09,-1.91e-09,4.08e-09,2.51e-09,-5.14e-09,-7.36e-09,5.12e-09,1.93e-10,5.38e-11,-8.47e-11,-3.46e-07
13,F,Imperial,50,0.001745543,-10.00421513,-2.376339651,8.405104049,-3.987530079,-8.790698747,-15.75439531,-0.955609079,-3.288578127,-9.159351849,-3.246313049,-5.328712251,-7.286325142,0.10966447,0.425511748,161.666611,-1.69e-12,8.58e-09,-4.78e-09,-4.56e-09,1.05e-09,-2.69e-09,4.65e-09,1.88e-09,-3.91e-09,1.05e-08,-1.52e-09,3.01e-09,2.53e-09,-3.61e-12,-1.03e-10,1.74e-08
13,F,Imperial,200,0.000757703,-10.45133044,-2.224786719,8.14075202,-4.085199925,-10.60681696,-15.88254669,1.095121854,-3.197474276,-10.02744394,-2.577016089,-7.836855727,-10.44685522,0.118521006,0.426636234,178.69571,1.49e-13,-6.62e-10,-1.22e-10,1.03e-09,-5.41e-09,-2.07e-09,2.19e-09,1.06e-08,-1.01e-08,-1.22e-09,-1.23e-09,6.85e-09,4.77e-09,6.36e-11,2.08e-10,-1.05e-07
13,F,Imperial,500,0.000359389,-9.759420956,-1.936843876,5.891276076,-4.217759422,-12.45434182,-14.604223,-2.954753736,-3.740445573,-6.3163603,-4.532081317,-11.13148256,-9.292508003,0.1159012,0.430971999,193.4557678,8.64e-14,-4.15e-09,-3.84e-09,1.88e-09,1.65e-09,-2.38e-09,1.49e-08,6.68e-09,7.78e-09,2.99e-09,-3.72e-09,-6.77e-09,-1.71e-09,-8.59e-11,8.7e-12,-2.02e-08
14,M,Imperial,50,0.001570193,-7.464374486,3.233625223,11.18902049,-0.232130872,-6.008835613,-14.44827496,-1.319609607,4.759063382,-8.657551602,3.315731797,6.881685804,-3.253230429,0.108027375,0.3194194,173.0660159,5.88e-13,3.56e-10,4.83e-09,2.1e-09,7.02e-10,2.03e-09,-7.46e-09,7.24e-09,3.37e-09,-7.22e-09,-8.75e-09,-9.58e-09,3.13e-09,-3.06e-11,1.71e-11,4.87e-07
14,M,Imperial,200,0.000678591,-8.33856626,1.157986537,10.30475189,-1.757664532,-9.167383229,-13.01527723,-3.872505497,4.510709429,-11.32865448,7.623579932,5.733966235,-5.400568183,0.120638461,0.309468602,258.0151632,-2.86e-13,1.77e-09,2.15e-09,-6.79e-09,8.41e-09,-5.3e-09,-1.76e-08,9.49e-09,1.02e-08,4.45e-09,4.43e-09,4.09e-09,1.33e-08,-5.08e-11,6.77e-11,-1.78e-06
14,M,Imperial,500,0.000388041,-8.647081834,0.34878558,9.061129473,-3.419830254,-11.9443114,-11.73699341,-4.984535644,4.199162432,-12.90716476,6.227296065,4.425990873,-6.957918898,0.124073024,0.320621301,235.4311916,-1.51e-13,2.12e-09,-2.46e-09,-3.42e-09,-5.75e-09,8.57e-09,1.9e-09,4.68e-09,-1.36e-08,-3.25e-09,-8.84e-09,1.07e-08,5.16e-09,-1.07e-10,2.79e-11,-1.02e-06
15,F,Imperial,50,0.00159593,-8.289627492,1.842555737,5.637600932,-5.189954615,-8.536191361,-14.46492302,-6.039475391,-0.444078718,-4.585251761,-6.342001007,-5.236815306,1.168456024,0.109645135,0.395406847,159.2965688,2.24e-13,-3.46e-09,-6.71e-10,6.46e-09,-1.99e-09,-1.65e-09,7.05e-09,6.76e-09,1.44e-08,-2.05e-09,8.58e-10,1.61e-09,1.3e-09,1.3e-10,2.45e-10,-7.08e-08
15,F,Imperial,200,0.000595585,-8.621211335,-0.526419413,6.347671779,-5.774346595,-11.37316612,-14.84483459,-8.059306787,-0.739236799,-3.758623238,-5.362966912,-5.6692561,1.721556697,0.114278513,0.389339306,176.3307424,8.12e-14,-4.02e-09,-7.67e-09,3.18e-09,-3.87e-09,6.09e-10,1.04e-10,9.13e-09,-7.93e-09,4.82e-09,6.65e-09,-5.51e-09,-7.27e-09,2.12e-12,3.75e-11,5.63e-08
15,F,Imperial,500,0.00033445,-8.022881901,-0.909681822,5.053162304,-5.810254309,-13.24180173,-13.32814181,-6.966698064,-0.300140092,-5.411402381,-5.514954774,-6.280515501,1.272848785,0.117718003,0.385881035,167.0522117,9.39e-14,-4.96e-10,3.96e-09,-6.39e-09,-3.57e-09,2.62e-09,-2.37e-09,-1.95e-09,-2.44e-09,4.81e-10,5.41e-10,-2.31e-09,6.25e-09,6.35e-11,9.5e-11,-2.31e-07
16,M,Imperial,50,0.001381794,-9.224874095,5.475886357,9.201248459,1.046727786,-3.693377646,-5.740915509,-6.424605992,-7.022713587,-0.083646651,5.529519547,-2.995992041,-4.071577746,0.103312104,0.333730502,142.1654487,-4.13e-12,-3.28e-09,-5.41e-09,-2.83e-09,6.12e-09,-4.65e-09,-1.72e-09,1.42e-09,1.08e-08,5.12e-09,-1.76e-09,-5.11e-09,-7.61e-10,1.67e-11,-2.92e-10,3.04e-07
16,M,Imperial,200,0.000566482,-9.145499358,3.579400184,9.731224028,0.397131103,-4.738326857,-4.233902723,-4.884109172,-7.675218031,-1.592130707,7.469602923,-4.206263958,-5.300130315,0.111338041,0.338916568,175.6604963,-1.97e-13,-5.07e-09,5.03e-10,6.74e-09,-2.74e-10,-2.47e-10,6.5e-09,5.43e-10,3.62e-09,-7.32e-09,7.38e-10,4.69e-09,6.01e-09,2.46e-11,1.3e-11,1.1e-07
16,M,Imperial,500,0.000352738,-8.999373326,2.970368143,9.771985984,1.314473084,-9.036877489,-6.015465526,-7.374300122,-9.966793091,-2.564263178,6.646423226,-5.339738185,-6.705511572,0.1166028,0.354446789,155.5816703,2.05e-13,3.54e-09,-9.67e-11,-2.5e-09,1.26e-08,-5.47e-09,-1.88e-09,8.63e-09,-6.49e-09,-2.29e-09,9.28e-10,-4.86e-09,5.35e-09,8.17e-11,7.77e-11,-3.82e-08
17,F,Imperial,50,0.001479073,-9.083125701,0.533603397,6.056736225,-4.733722337,-15.3032966,-14.93703183,-2.170324688,5.208699332,-11.44854885,-3.829081792,-0.930186115,-6.661373469,0.121475586,0.433007011,180.6510709,-2.55e-13,6.35e-09,-5.85e-09,-1.88e-09,1.64e-09,3.65e-09,1.07e-08,-7.18e-09,-8.6e-09,1.03e-08,1.15e-08,4.37e-09,-9.09e-10,-3.12e-11,-1.56e-10,-1.72e-07
17,F,Imperial,200,0.000693109,-9.651410528,-0.466879892,5.528492445,-5.342016798,-16.94552052,-12.76748586,-0.453914922,3.031766594,-11.39913169,-2.484563735,-3.689171353,-7.248788845,0.113746211,0.432432443,188.1459546,-6.36e-13,1.9e-09,-3.82e-10,-7.2e-10,-4.82e-09,-1.28e-08,-2.37e-09,-6.82e-09,9.96e-09,-2.46e-09,1.32e-08,1.69e-09,9.12e-09,-8.75e-11,-6.62e-11,-8.33e-08
17,F,Imperial,500,0.000381165,-9.636160446,-3.942441019,2.658261592,-6.095436288,-17.09672272,-10.1932653,-3.773847581,4.003469406,-6.693052562,-2.462530854,-6.270062822,-6.146773135,0.11672733,0.445608762,204.6172017,8.83e-13,-7.24e-09,-2.78e-09,-2.47e-09,-8.76e-09,-3.24e-10,1.56e-09,6.93e-09,-7.44e-09,9.21e-09,1.09e-10,2.22e-09,-8.32e-09,-6.26e-11,8.95e-11,-1.99e-07
18,M,Imperial,50,0.001761705,-7.864067682,1.890526018,5.937907382,2.451140445,-7.338572482,-11.37758946,-6.315342827,-6.698181089,-1.952892462,-1.532739185,-0.241398087,-4.989263954,0.098729149,0.339861246,156.1924387,-2.95e-12,-6.48e-09,-4.39e-09,-2.57e-09,3.61e-10,-9.27e-09,3.14e-09,1.97e-08,8.37e-09,-5.14e-09,-1.45e-09,-8.86e-09,-5.13e-09,8.11e-12,-4.01e-11,-3.59e-07
