Speaker,Sex,Location,Distance,Percieved_Distance,numerical_Percieved_Distance
035,M,Glasgow,200,low,1.8004007924413286
035,M,Glasgow,500,high,2.49
036,F,Glasgow,50,low,1.1942426089606824
036,F,Glasgow,200,low,1.515
036,F,Glasgow,500,high,2.16
036,M,Glasgow,50,low,1.4018119475769582
036,M,Glasgow,200,low,1.755
036,M,Glasgow,500,low,2.047604388905821
037,F,Glasgow,50,low,1.3273392258457783
037,F,Glasgow,200,low,1.9278314538250532
037,F,Glasgow,500,low,2.091319719597684
037,M,Glasgow,50,low,1.0660819871990246
037,M,Glasgow,200,low,1.88
037,M,Glasgow,500,low,1.795
038,F,Glasgow,50,low,0.8700365742151783
038,F,Glasgow,200,low,2.0707909174032304
038,F,Glasgow,500,low,2.091319719597684
038,M,Glasgow,50,low,1.078852483998781
038,M,Glasgow,200,high,2.275525754343188
038,M,Glasgow,500,high,2.515
039,F,Glasgow,50,low,1.3650000000000002
039,F,Glasgow,200,high,2.5647698872295037
039,F,Glasgow,500,high,2.25
039,M,Glasgow,50,low,0.7003642182261505
039,M,Glasgow,200,low,1.925
039,M,Glasgow,500,high,2.3205638524839984
040,F,Glasgow,50,low,1.2735248399878083
040,F,Glasgow,200,low,1.7458290155440417
040,F,Glasgow,500,high,2.465
040,M,Glasgow,50,low,0.7269125266686985
040,M,Glasgow,200,low,1.65
040,M,Glasgow,500,low,1.995
041,F,Glasgow,50,low,1.4676302956415723
041,F,Glasgow,200,high,2.612439804937519
041,F,Glasgow,500,high,2.525
041,M,Glasgow,50,low,1.175
041,M,Glasgow,200,low,2.064116123133191
041,M,Glasgow,500,high,2.7443416641267904
042,F,Glasgow,50,low,1.245
042,F,Glasgow,200,low,1.78
042,F,Glasgow,500,high,2.1900000000000004
042,M,Glasgow,50,high,2.315
042,M,Glasgow,200,high,2.395
042,M,Glasgow,500,high,2.905
043,F,Glasgow,50,low,1.626345626333435
043,F,Glasgow,200,low,1.7911185614142031
043,F,Glasgow,500,high,2.218422736970436
043,M,Glasgow,50,low,1.5499999999999998
043,M,Glasgow,200,high,2.283460835111246
043,M,Glasgow,500,high,2.891583358732094
044,F,Glasgow,50,low,1.455
044,F,Glasgow,200,low,2.085
044,F,Glasgow,500,high,2.35
044,M,Glasgow,50,low,1.08
044,M,Glasgow,200,high,2.311420298689424
044,M,Glasgow,500,high,2.9723392258457797
045,F,Glasgow,50,low,1.3209174032307225
045,F,Glasgow,200,low,1.795
045,F,Glasgow,500,high,2.225
045,M,Glasgow,50,low,1.3841420298689426
045,M,Glasgow,200,low,1.945
045,M,Glasgow,500,high,2.185
046,F,Glasgow,50,low,1.47
046,F,Glasgow,200,low,2.07
046,F,Glasgow,500,high,2.565
046,M,Glasgow,50,low,1.115
046,M,Glasgow,200,high,2.345
046,M,Glasgow,500,high,2.245
047,F,Glasgow,50,low,0.8500000000000001
047,F,Glasgow,200,low,2.04
047,F,Glasgow,500,high,2.79
047,M,Glasgow,50,low,1.265
047,M,Glasgow,200,low,1.81
047,M,Glasgow,500,low,2.11
048,F,Glasgow,50,low,0.91
048,F,Glasgow,200,low,1.77
048,F,Glasgow,500,high,2.645
048,M,Glasgow,50,low,1.68
048,M,Glasgow,200,low,1.98
048,M,Glasgow,500,high,2.6950000000000003
049,F,Glasgow,50,low,1.34
049,F,Glasgow,200,high,2.25
049,F,Glasgow,500,high,2.345
049,M,Glasgow,50,low,1.375
049,M,Glasgow,200,high,2.24
049,M,Glasgow,500,high,2.75
050,F,Glasgow,50,low,1.3199999999999998
050,F,Glasgow,200,low,1.98
050,F,Glasgow,500,high,2.243523316062176
050,M,Glasgow,50,low,1.795
050,M,Glasgow,200,high,2.425
050,M,Glasgow,500,low,1.8382596769277664
051,F,Glasgow,50,low,0.865
051,F,Glasgow,200,high,2.225
051,F,Glasgow,500,high,2.93
051,M,Glasgow,50,low,1.47
051,M,Glasgow,200,low,1.915
051,M,Glasgow,500,high,2.6525662907650105
052,F,Glasgow,50,low,1.09
052,F,Glasgow,200,low,1.475
052,F,Glasgow,500,high,2.515
052,M,Glasgow,50,low,1.19
052,M,Glasgow,200,high,2.31
052,M,Glasgow,500,high,2.74
053,F,Glasgow,50,low,1.025
053,F,Glasgow,200,high,2.162037488570557
053,F,Glasgow,500,high,2.635
053,M,Glasgow,50,low,0.9646083511124656
053,M,Glasgow,200,low,2.015
053,M,Glasgow,500,high,3.255
054,F,Glasgow,50,low,2.005
054,F,Glasgow,200,low,1.9106903383114904
054,F,Glasgow,500,high,2.615
054,M,Glasgow,50,low,1.915
054,M,Glasgow,200,high,2.63
054,M,Glasgow,500,high,2.87
055,F,Glasgow,50,low,1.18
055,F,Glasgow,200,low,1.505
055,F,Glasgow,500,low,1.795
055,M,Glasgow,50,low,0.885
055,M,Glasgow,200,high,2.375
055,M,Glasgow,500,high,2.1500000000000004
056,F,Glasgow,50,low,1.48
056,F,Glasgow,200,high,2.69
056,F,Glasgow,500,high,3.37
056,M,Glasgow,50,low,1.585
056,M,Glasgow,200,high,2.2350000000000003
056,M,Glasgow,500,high,2.6100000000000003
057,F,Glasgow,50,low,1.035
057,F,Glasgow,200,low,1.786975007619628
057,F,Glasgow,500,high,2.6220115818348058
057,M,Glasgow,50,low,1.6578314538250534
057,M,Glasgow,200,high,2.229996952148736
057,M,Glasgow,500,high,3.37
058,F,Glasgow,50,low,1.1578954587016157
058,F,Glasgow,200,high,2.255
058,F,Glasgow,500,low,2.145
058,M,Glasgow,50,low,1.555
058,M,Glasgow,200,high,2.41
058,M,Glasgow,500,high,2.95
059,F,Glasgow,50,low,1.515
059,F,Glasgow,200,low,1.98
059,F,Glasgow,500,low,2.045
059,M,Glasgow,50,low,1.09
059,M,Glasgow,200,high,2.2486498018896675
059,M,Glasgow,500,high,2.77
060,F,Glasgow,50,low,1.71
060,F,Glasgow,200,high,2.5
060,F,Glasgow,500,low,1.86897744590064
060,M,Glasgow,50,low,1.34
060,M,Glasgow,200,high,2.18
060,M,Glasgow,500,high,2.855
