Unique_Speaker,Sex,Location,Agreeableness,Conscientiousness,Extraversion,Neuroticism,Openness,numerical_Agreeableness,numerical_Conscientiousness,numerical_Extraversion,numerical_Neuroticism,numerical_Openness
44,M,Imperial,low,high,low,low,low,49.5,55.0,43.0,31.5,50.5
44,M,Imperial,high,low,low,high,low,61.5,42.5,40.0,43.5,52.0
44,M,Imperial,low,high,low,low,low,52.5,56.5,38.0,40.0,51.0
45,F,Imperial,high,high,high,low,high,59.0,56.0,56.0,36.5,75.0
45,F,Imperial,low,high,high,low,high,49.5,57.5,59.5,40.0,63.5
45,F,Imperial,low,high,high,low,high,44.5,55.5,58.0,38.0,60.0
46,M,Imperial,high,low,high,high,high,60.5,53.5,63.5,51.5,55.5
46,M,Imperial,high,high,high,high,high,55.5,61.0,63.5,45.5,63.5
46,M,Imperial,high,high,high,high,high,56.0,63.5,61.0,45.5,68.0
47,F,Imperial,high,high,high,low,high,58.0,68.0,60.5,31.5,66.0
47,F,Imperial,high,high,high,low,high,57.0,77.5,67.0,24.5,59.5
47,F,Imperial,low,high,high,low,high,47.5,78.5,68.5,39.0,55.5
48,M,Imperial,high,high,high,low,high,55.0,64.5,54.5,35.0,65.0
48,M,Imperial,high,high,high,low,high,55.5,57.5,57.0,31.0,60.5
48,M,Imperial,low,high,high,low,high,45.0,68.5,56.0,38.0,62.5
49,F,Imperial,low,low,low,high,low,50.5,39.0,25.5,50.0,30.0
49,F,Imperial,low,high,low,low,high,50.5,60.5,42.5,39.5,58.0
49,F,Imperial,low,low,low,low,low,44.0,54.0,48.0,40.0,45.5
50,M,Imperial,high,low,high,high,high,57.0,37.5,52.5,55.0,56.0
50,M,Imperial,high,low,low,low,low,55.0,46.5,48.0,31.0,43.0
50,M,Imperial,low,high,low,low,low,46.5,56.0,51.5,28.0,52.5
51,F,Imperial,high,low,low,high,high,54.0,29.0,40.0,48.0,54.5
51,F,Imperial,high,high,high,low,high,65.0,60.0,57.0,27.5,58.5
51,F,Imperial,high,high,low,low,high,56.0,59.0,50.5,39.0,55.0
52,M,Imperial,high,high,high,high,high,53.0,55.5,59.0,43.5,56.0
52,M,Imperial,high,low,high,low,low,54.5,38.5,64.0,33.0,40.5
