Speaker,Sex,Location,Distance,pcm_RMSenergy_sma,pcm_fftMag_mfcc_sma[1],pcm_fftMag_mfcc_sma[2],pcm_fftMag_mfcc_sma[3],pcm_fftMag_mfcc_sma[4],pcm_fftMag_mfcc_sma[5],pcm_fftMag_mfcc_sma[6],pcm_fftMag_mfcc_sma[7],pcm_fftMag_mfcc_sma[8],pcm_fftMag_mfcc_sma[9],pcm_fftMag_mfcc_sma[10],pcm_fftMag_mfcc_sma[11],pcm_fftMag_mfcc_sma[12],pcm_zcr_sma,voiceProb_sma,F0_sma,pcm_RMSenergy_sma_de,pcm_fftMag_mfcc_sma_de[1],pcm_fftMag_mfcc_sma_de[2],pcm_fftMag_mfcc_sma_de[3],pcm_fftMag_mfcc_sma_de[4],pcm_fftMag_mfcc_sma_de[5],pcm_fftMag_mfcc_sma_de[6],pcm_fftMag_mfcc_sma_de[7],pcm_fftMag_mfcc_sma_de[8],pcm_fftMag_mfcc_sma_de[9],pcm_fftMag_mfcc_sma_de[10],pcm_fftMag_mfcc_sma_de[11],pcm_fftMag_mfcc_sma_de[12],pcm_zcr_sma_de,voiceProb_sma_de,F0_sma_de
002,M,Imperial,200,0.0007765944100183,-8.795205644201534,0.2066194404889086,9.288300887839933,0.1036308594271939,-8.424268632883324,-1.6707783351784005,-8.069495325948788,-5.310622884071368,-8.895922463279648,1.9723693905817,3.0780504135496662,-7.291751293497596,0.1130451947825296,0.3256966960326572,217.8630852459016,2.798751169165026e-13,-4.0758886520982847e-10,-2.344764635455442e-09,-1.4720461087192692e-08,4.4697406209048034e-09,-7.614313178531307e-09,-5.213256493937164e-09,3.427473593913763e-09,-7.012487830249264e-10,-4.281940450920514e-09,-4.4842459146615435e-09,3.031700286721997e-09,1.6673485385619762e-10,-2.9778300703637776e-10,1.4255523016507092e-11,-9.956687494853491e-07
002,M,Imperial,500,0.0004486335260322,-9.660092958735047,-2.3921734765125207,7.365442451578995,-2.046899721059731,-12.50986196380058,-2.699919678709058,-10.619232023994984,-6.705715635818888,-9.614884998394032,-2.3960042022138714,1.5505355055886314,-10.212848416156088,0.1202346850709734,0.3336876222131044,172.52225524590165,-4.094174651105327e-13,-8.658214985979062e-09,4.270633340992224e-10,-1.722879070495339e-09,1.6781190088087244e-09,-7.255278600522147e-10,2.609596927665086e-09,2.334740871900193e-09,-4.209884847298126e-09,8.982776377360742e-09,-5.137236065154217e-09,2.9558541348377504e-09,-5.737236067694537e-09,4.560460599831636e-11,3.4692451713116236e-11,-7.652173913649686e-07
003,F,Imperial,50,0.0019818641033857,-7.794687187590211,2.6887204590460643,3.732975428452015,-2.452370798051824,-7.618866185419386,-11.197702545567171,-8.068178006099805,-0.1284633171439534,-9.73341553309021,1.6159986855969315,-5.991245980058547,-0.4250171169305168,0.1058795893539581,0.4084444761506408,170.3830329807692,1.7214243835999473e-13,-7.754302079559616e-09,-8.52198853709032e-10,6.804015279518296e-09,-4.115678779888211e-09,1.3962715086330161e-08,-6.559206500383651e-09,4.241682599646347e-09,6.581261955353713e-09,-7.922562201661971e-10,4.659655825933968e-09,7.088913265417301e-11,1.8154875749884062e-09,-5.7709921301966315e-11,-3.0332840326295686e-10,-5.4740740401476375e-08
003,F,Imperial,200,0.0009159581868896,-9.50906497708416,0.4763087689696675,3.215663795807236,-3.507378541969669,-11.007437359755396,-12.163846950303322,-9.871333091380032,-0.6097712898825829,-8.953523446209381,2.1454710665949097,-7.245416403702535,-1.792272844174165,0.1201289070391265,0.4034279081716792,189.86850297619037,1.0992202581468405e-13,2.585701781397061e-09,-7.284210527048117e-09,-1.0436647147706725e-08,2.72095516427943e-09,-5.276803096693887e-09,1.4610136287310567e-09,-1.438596486697072e-09,1.2615009733760517e-08,-5.678849904103316e-09,-5.152046785156892e-09,-8.705653024015535e-09,2.440321645480443e-09,5.2742137610436735e-11,7.533998815559468e-11,6.651234553520818e-08
003,F,Imperial,500,0.0005257054908396,-10.035713156136069,-0.0312209358853255,1.834019633994168,-3.382636339339168,-12.965840176095236,-11.174538410592808,-9.762346069290572,0.2934862513216711,-8.8081256501691,1.2098330425850343,-8.496119656131196,-2.33274568954033,0.1242675182192902,0.378624667268107,191.82897983050864,2.0832335956155999e-13,-2.369691141510952e-09,7.816602328723407e-09,1.8339777358714497e-11,-4.6090733549327166e-09,-1.0656370672442308e-08,6.140926635678298e-09,-8.129343611213705e-09,1.2654440229559238e-09,1.3666988454971205e-08,-5.786389951994101e-09,-8.091119693198987e-09,4.56061775761889e-09,4.559776089190856e-11,-9.163747411228621e-11,2.2412270746851944e-08
003,M,Imperial,50,0.0014557217725518,-5.752176057169852,3.93907682704319,9.528181306938576,-3.6718565559309,-3.610470436390597,-4.193168409203449,-6.2372687847764015,-6.297421105799424,-6.610357800273509,6.201318023490407,3.972491524097888,-4.064069946965446,0.0988250702547772,0.3070848998353174,131.79385157894737,-3.895568302955678e-13,4.043935081100636e-09,2.6964660892813112e-09,-3.872874877451403e-09,7.463228290296783e-09,6.661891109114096e-09,1.2580706768057022e-09,7.001910212679377e-09,-8.938872979008741e-09,2.0506207913964187e-09,8.042024850221528e-09,6.619388728218753e-09,-2.643744031657242e-09,5.6376201898835554e-11,1.240927006831099e-10,3.548387092399524e-07
003,M,Imperial,200,0.0006901635133872,-6.629791366462651,-0.4113890708729394,10.487745649466548,-4.68029732596309,-6.461319396975746,-5.162059336469443,-9.55777488022309,-3.024067214502423,-6.991739309224051,4.0673728827158095,3.932538699479144,-6.942594253685743,0.113639295613285,0.3176590251996198,242.5984838709677,5.533301131804662e-13,-3.018146702208788e-09,-1.8490347413583662e-09,7.459749068059497e-09,-1.5087837569969051e-09,-1.4335907450957603e-09,-1.831949811817971e-09,6.841698854560802e-09,2.5308880292343904e-09,-3.188223941040004e-09,6.3244208669970464e-09,3.150965238863552e-09,5.812741191425843e-10,-2.0940550816320825e-11,1.1983590737195807e-10,-1.8181818200508298e-07
003,M,Imperial,500,0.0003695070399112,-6.660932395114753,-1.898547877813883,9.544674935445514,-5.988338426335688,-9.730400389074244,-4.682556439980712,-14.54429163529509,-2.086574607349083,-8.270839685631637,2.3616284777319185,2.312042513193444,-8.77351969572807,0.1108113456615104,0.3424332068439248,218.21202181818185,-6.8837645621214635e-15,2.3552353566208876e-09,-3.071853986421601e-09,-1.1914601360433908e-08,-5.992122957069997e-09,-3.482901063404329e-09,3.7463975245793326e-10,6.089337167974751e-09,8.521613815996263e-09,-5.141210363828289e-09,6.686810746271761e-09,5.813160413625006e-09,-4.4783861760546204e-09,-2.3035544565737457e-11,8.619601727175779e-11,-6.029411750005539e-07
004,F,Imperial,50,0.0017287328961461,-8.911286485389104,5.458063710029178,4.513761926820041,-4.346270310554479,-5.483356552292803,-12.911176500924112,-8.402462169007766,-2.045799416071984,-13.5792921677393,0.8346379015175104,-6.129033916459142,-2.8591028128112854,0.1138610879217468,0.4175455735356463,172.46050413294788,-2.305588176280897e-12,-2.953488357306128e-09,-7.945735746794827e-11,-3.872093044374257e-09,-4.776162766869475e-09,7.902616283906536e-09,7.565503908477897e-09,-4.406007738565037e-09,-4.389534875762536e-09,-2.371124028925954e-09,-2.843992247452596e-09,-1.2863372105858954e-08,1.2790696933454348e-10,-4.697754121818919e-11,-1.3889009229356635e-10,-9.020547961559305e-08
004,F,Imperial,200,0.0007876925205873,-10.467090183196529,2.946009743554145,3.248778000594407,-6.4165470980684,-8.596859595631981,-11.869406765327556,-13.693311984075146,-3.0351759152061666,-15.709503826578992,-0.3745274903169548,-5.931341605432566,-4.219966692057807,0.1102187613730662,0.4239378344219651,196.0490194545454,2.37967345633856e-13,-5.4128599024608295e-09,-1.8090211255300765e-09,-4.641362780541844e-09,2.879078538275894e-10,-2.8182341643775622e-09,8.98205376396288e-09,1.0119769699420376e-08,-9.174664092194853e-09,3.838772390174516e-12,4.317936661174748e-09,-9.07485602646526e-09,8.685220597903892e-10,8.67728238638214e-11,1.3614203479239886e-10,-1.3939746254456444e-07
